Pal_ID	Ide_ID	Ssu_ID	Ptr_ID	Pag_ID	Peu_ID	Pde_ID
Palv1-30797	-	-	-	-	-	-
Palv1-30798	-	-	-	PAxG18Gg0000500	-	-
Palv1-30799	Ide2-23032	EVM0041544	Potri.006G281400	PAxG06Gg0258600	Peu2-21162	-
Palv1-30800	Ide2-23030	EVM0006756	Potri.006G281200	PAxG06Gg0258500	Peu2-21163	-
Palv1-30801	Ide2-23029	EVM0011220	Potri.006G281101	PAxG06Gg0258300	-	-
Palv1-30802	Ide2-23027	-	Potri.006G280900	PAxG06Gg0258200	Peu2-21164	Pde06A000020
Palv1-30803	Ide2-23026	EVM0000012	Potri.006G280800	PAxG06Gg0258100	Peu2-21165	Pde06A000030
Palv1-30804	-	-	Potri.006G280400	PAxG06Gg0258000	Peu2-21171	Pde06A000070
Palv1-30805	Ide2-23025	EVM0001190	Potri.006G280200	PAxG06Gg0257900	Peu2-21172	Pde06A000080
Palv1-30806	Ide2-23024	EVM0017375	Potri.006G280100	-	Peu2-21173	Pde06A000090
Palv1-30807	Ide2-23023	EVM0025543	Potri.006G280000	PAxG06Gg0257800	Peu2-21174	Pde06A000100
Palv1-30808	Ide2-23022	EVM0029897	Potri.006G279900	PAxG06Gg0257700	Peu2-21175	Pde06A000110
Palv1-30809	Ide2-23021	EVM0038822	Potri.006G279800	PAxG06Gg0257600	Peu2-21176	Pde06A000130
Palv1-30810	Ide2-23020	EVM0031248	Potri.006G279700	PAxG06Gg0257500	Peu2-21177	Pde06A000140
Palv1-30811	Ide2-23019	EVM0030154	Potri.006G279600	-	Peu2-21178	Pde06A000150
Palv1-30812	-	-	-	-	-	-
Palv1-30813	Ide2-23018	EVM0006600	-	PAxG06Gg0257400	Peu2-21179	Pde06A000160
Palv1-30814	Ide2-23017	EVM0025619	Potri.006G279400	PAxG06Gg0257300	-	Pde18A015030
Palv1-30815	-	-	-	-	Peu2-21181	-
Palv1-30816	Ide2-23016	-	Potri.006G279300	-	Peu2-21180	Pde06A000170
Palv1-30817	Ide2-23015	EVM0021379	Potri.006G279200	PAxG06Gg0257200	Peu2-21182	Pde06A000180
Palv1-30818	Ide2-23014	EVM0013504	Potri.006G279100	PAxG06Gg0257100	Peu2-21183	Pde06A000190
Palv1-30819	Ide2-23013	EVM0035347	Potri.006G279000	PAxG06Gg0257000	Peu2-21184	Pde06A000200
Palv1-30820	Ide2-23927	EVM0019090	Potri.006G278700	PAxG06Gg0256900	Peu2-21186	-
Palv1-30821	-	-	-	-	-	-
Palv1-30822	Ide2-23010	EVM0030144	Potri.006G278500	PAxG06Gg0256800	Peu2-21187	Pde06A000250
Palv1-30823	Ide2-23009	EVM0022978	Potri.006G278400	PAxG06Gg0256700	Peu2-21188	-
Palv1-30824	Ide2-23008	EVM0013540	Potri.006G278250	PAxG06Gg0256600	Peu2-21189	Pde06A000270
Palv1-30825	Ide2-23007	EVM0011225	Potri.006G278100	PAxG06Gg0256500	Peu2-21190	Pde06A000280
Palv1-30826	Ide2-23006	EVM0038124	Potri.006G278000	PAxG06Gg0256400	Peu2-21191	Pde06A000290
Palv1-30827	Ide2-23005	-	Potri.006G277900	PAxG06Gg0256300	Peu2-21192	Pde06A000300
